Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.331246,447381.5,5.6286488,872.5666,0.0,0.0,0.49591064,17.76717,-10.959658,0.16650575,1.1880412
2.329592,447409.75,5.628841,880.5078,0.0,0.0,0.493465,17.796227,-10.956457,0.16472048,1.1841204
2.3219826,447663.62,5.6285467,871.0721,0.0,0.0,0.47088957,17.923832,-10.917001,0.16223338,1.1822631
2.3217053,447663.47,5.6298823,867.6029,0.0,0.0,0.4797253,17.83656,-10.958674,0.16248535,1.1921821
2.3312683,447381.2,5.6330886,890.1586,0.0,0.0,0.46018878,17.852194,-10.923831,0.16665773,1.2051446
2.3351164,446986.75,5.6363173,802.7664,0.0,0.0,0.43851864,17.731762,-10.929415,0.15971275,1.2109724
2.3365843,447268.53,5.6393723,860.3275,0.0,0.0,0.41839564,17.96823,-10.91662,0.16404419,1.2126604
2.3405123,447183.88,5.6373234,845.60913,0.0,0.0,0.41806188,17.845592,-10.968211,0.16256651,1.193555
2.3385315,447099.3,5.633247,857.5863,0.0,0.0,0.39621687,17.954184,-10.939721,0.16278642,1.1979461
2.3008006,447071.56,5.629381,872.8507,0.0,0.0,0.4617568,18.086956,-10.989124,0.16163202,1.1912078
2.3148952,447324.44,5.631752,851.4329,0.0,0.0,0.47702762,18.001911,-10.958286,0.16153693,1.1948409
2.327711,446986.3,5.6347384,867.0794,0.0,0.0,0.4971831,18.089533,-10.864862,0.16496544,1.1805414
2.328191,446902.75,5.6338863,884.01984,0.0,0.0,0.52221364,18.112482,-10.891013,0.16245735,1.1776181
2.3332438,447295.8,5.636098,855.25244,0.0,0.0,0.54777265,18.125616,-10.833976,0.15931544,1.1927507
2.3362792,446874.7,5.631683,857.0046,0.0,0.0,0.54047596,18.221687,-10.916629,0.1648944,1.2003671
2.3316176,447268.3,5.6277137,865.36615,0.0,0.0,0.5442541,18.236696,-10.841507,0.1640462,1.1979012
2.324203,447155.44,5.6275897,879.638,0.0,0.0,0.58873826,18.255877,-10.882275,0.16416766,1.2003008
