Bt,ip,ne_nG,n=1 amplitude,Mir_avg_amp,Mir_avg_fre,v_loop,dx_a,dy_a,sxr_mean,xuv_ratio
2.330815,450351.12,5.7168837,931.08563,0.0,0.0,0.43411,19.772892,-7.6226273,0.24259411,1.3816574
2.3296816,450481.2,5.721436,916.1451,0.0,0.0,0.426323,19.759405,-7.5804076,0.24581267,1.379584
2.3256762,450280.72,5.723057,902.1485,0.0,0.0,0.43361324,19.72406,-7.5842047,0.24609299,1.3798743
2.319851,450178.1,5.7251077,948.47217,0.0,0.0,0.43216938,19.70953,-7.582082,0.2460337,1.3784633
2.3235657,450301.56,5.7279034,907.1756,0.0,0.0,0.42961133,19.741808,-7.5716486,0.245052,1.3789663
2.3323572,450220.47,5.728323,906.25,0.0,0.0,0.43434125,19.7381,-7.5691147,0.2436378,1.3726547
2.338776,450005.28,5.7261853,911.1883,0.0,0.0,0.4382708,19.733667,-7.56497,0.24280651,1.3728591
2.3391607,449991.28,5.723609,906.6895,0.0,0.0,0.43617097,19.733318,-7.5567007,0.24318154,1.3820076
2.3368995,450139.47,5.7214212,941.57715,0.0,0.0,0.40765342,19.787607,-7.5597763,0.24394675,1.391123
2.32959,450167.53,5.7202992,919.0956,0.0,0.0,0.3978421,19.794338,-7.528871,0.2422935,1.3912635
2.3235116,450075.78,5.716346,911.03766,0.0,0.0,0.41135308,19.733559,-7.5500164,0.24162938,1.3872826
2.325923,449945.25,5.71242,924.9422,0.0,0.0,0.4095324,19.738892,-7.5620666,0.24222691,1.3895386
2.3304534,450228.22,5.7148933,896.87756,0.0,0.0,0.41872957,19.824837,-7.532881,0.24137223,1.3885697
2.333162,450516.94,5.717317,914.02155,0.0,0.0,0.41470495,19.93273,-7.5471725,0.24027742,1.3879387
2.3333461,450322.1,5.721453,903.54895,0.0,0.0,0.4196493,19.777273,-7.5394807,0.24179997,1.3820031
2.3243232,450475.28,5.725678,921.1134,0.0,0.0,0.41488892,19.71847,-7.5808496,0.24254325,1.3849245
2.3198748,450265.06,5.726389,956.89044,0.0,0.0,0.40905437,19.71241,-7.570136,0.24156372,1.3823781
2.3210557,450051.25,5.7263374,912.3063,0.0,0.0,0.4255472,19.642052,-7.564724,0.24217701,1.3790095
2.3241763,450079.47,5.7243853,915.38214,0.0,0.0,0.4436833,19.68451,-7.563727,0.24324757,1.381942
2.3295846,449983.72,5.721187,927.44824,0.0,0.0,0.45446798,19.648233,-7.560073,0.24256809,1.3814356
2.330926,450150.94,5.719872,917.3412,0.0,0.0,0.44071227,19.761124,-7.5809426,0.24086991,1.370842
2.3301466,450393.78,5.718725,953.13324,0.0,0.0,0.42408708,19.813004,-7.541168,0.24166112,1.3863292
2.3256524,450368.12,5.7182493,940.1385,0.0,0.0,0.45741752,19.741545,-7.5361075,0.243339,1.3788016
2.3169472,450351.16,5.71605,909.14014,0.0,0.0,0.4694596,19.818691,-7.5308614,0.24334627,1.3696661
2.3193974,450194.78,5.713245,911.0253,0.0,0.0,0.46432927,19.715761,-7.502008,0.24345152,1.3649572
2.3301113,450072.25,5.7128596,926.8555,0.0,0.0,0.47169024,19.702911,-7.5201306,0.24492252,1.377778
2.3371913,450044.03,5.70948,917.811,0.0,0.0,0.4657885,19.800442,-7.533129,0.2475068,1.3811686
2.335376,449962.56,5.707674,917.95886,0.0,0.0,0.45068437,19.778006,-7.527691,0.24853404,1.3740035
2.3345408,450258.03,5.7087083,925.69836,0.0,0.0,0.41586816,19.754234,-7.5122113,0.25069615,1.3670415
2.3306253,450243.62,5.7070074,929.5546,0.0,0.0,0.40950957,19.77297,-7.4987707,0.25127593,1.3642406
2.3212888,450118.2,5.70617,916.3398,0.0,0.0,0.4246019,19.795824,-7.531544,0.24892122,1.3626331
2.3232539,450331.44,5.7065253,891.2239,0.0,0.0,0.42180648,19.737848,-7.530432,0.24801724,1.3749893
2.329243,450332.3,5.7037315,941.63654,0.0,0.0,0.40660003,19.7661,-7.5104785,0.24594004,1.3730499
2.3324792,450330.38,5.7046146,956.8845,0.0,0.0,0.40173697,19.759987,-7.4754515,0.24517621,1.3792154
2.3321853,450567.78,5.7049327,924.5184,0.0,0.0,0.4136856,19.672703,-7.4700284,0.24556075,1.3719932
2.3241653,450308.8,5.701558,915.5831,0.0,0.0,0.39925006,19.60901,-7.4878316,0.24526353,1.3707017
2.3202672,450303.53,5.698829,910.4989,0.0,0.0,0.39678076,19.638288,-7.4995127,0.24540958,1.3770676
2.323079,450464.16,5.696434,942.5814,0.0,0.0,0.40907404,19.662764,-7.533634,0.24391295,1.3845226
2.326421,450556.2,5.696456,969.07996,0.0,0.0,0.42022246,19.731047,-7.512775,0.24310087,1.384835
2.3297272,450633.44,5.6957674,905.41833,0.0,0.0,0.43336275,19.735363,-7.520962,0.24270447,1.3820248
2.331272,450440.44,5.6908016,914.58527,0.0,0.0,0.4327555,19.7653,-7.512909,0.24421017,1.3823946
2.3298655,450315.7,5.684615,925.4762,0.0,0.0,0.42668322,19.74609,-7.494626,0.24451764,1.3849126
2.3269067,450262.22,5.6799493,927.68005,0.0,0.0,0.43243822,19.764896,-7.505871,0.24442993,1.3813832
2.3151968,450177.56,5.677174,918.32776,0.0,0.0,0.4318838,19.725359,-7.5467296,0.24421571,1.3757536
2.3181453,450217.75,5.672715,918.5178,0.0,0.0,0.4192359,19.695662,-7.5139947,0.24443612,1.3769432
