time_index,time_s,prob_disrupt,streak,pred_disruptive,triggered,trigger_index,trigger_time_s
0,0.0,0.4680092930793762,0,0,0,1983,1.983
1,0.001,0.4513489902019501,0,0,0,1983,1.983
2,0.002,0.43710482120513916,0,0,0,1983,1.983
3,0.003,0.42673391103744507,0,0,0,1983,1.983
4,0.004,0.4187365472316742,0,0,0,1983,1.983
5,0.005,0.412835031747818,0,0,0,1983,1.983
6,0.006,0.4086245000362396,0,0,0,1983,1.983
7,0.007,0.40547293424606323,0,0,0,1983,1.983
8,0.008,0.40293365716934204,0,0,0,1983,1.983
9,0.009000000000000001,0.40085655450820923,0,0,0,1983,1.983
10,0.01,0.39935940504074097,0,0,0,1983,1.983
11,0.011,0.39827316999435425,0,0,0,1983,1.983
12,0.012,0.39755335450172424,0,0,0,1983,1.983
13,0.013000000000000001,0.3970218598842621,0,0,0,1983,1.983
14,0.014,0.3967238664627075,0,0,0,1983,1.983
15,0.015,0.3965523838996887,0,0,0,1983,1.983
16,0.016,0.3964135944843292,0,0,0,1983,1.983
17,0.017,0.39645570516586304,0,0,0,1983,1.983
18,0.018000000000000002,0.3967176377773285,0,0,0,1983,1.983
19,0.019,0.3971529006958008,0,0,0,1983,1.983
20,0.02,0.39744576811790466,0,0,0,1983,1.983
21,0.021,0.3974716067314148,0,0,0,1983,1.983
22,0.022,0.39772167801856995,0,0,0,1983,1.983
23,0.023,0.3981386721134186,0,0,0,1983,1.983
24,0.024,0.3985693156719208,0,0,0,1983,1.983
25,0.025,0.39905136823654175,0,0,0,1983,1.983
26,0.026000000000000002,0.3994036912918091,0,0,0,1983,1.983
27,0.027,0.39952000975608826,0,0,0,1983,1.983
28,0.028,0.39917150139808655,0,0,0,1983,1.983
29,0.029,0.3985985219478607,0,0,0,1983,1.983
30,0.03,0.3981477618217468,0,0,0,1983,1.983
31,0.031,0.3977959156036377,0,0,0,1983,1.983
32,0.032,0.3973807096481323,0,0,0,1983,1.983
33,0.033,0.396932452917099,0,0,0,1983,1.983
34,0.034,0.39664924144744873,0,0,0,1983,1.983
35,0.035,0.3963644504547119,0,0,0,1983,1.983
36,0.036000000000000004,0.3960771858692169,0,0,0,1983,1.983
37,0.037,0.39593154191970825,0,0,0,1983,1.983
38,0.038,0.39594346284866333,0,0,0,1983,1.983
39,0.039,0.39610257744789124,0,0,0,1983,1.983
40,0.04,0.39630386233329773,0,0,0,1983,1.983
41,0.041,0.3964543640613556,0,0,0,1983,1.983
42,0.042,0.3966201841831207,0,0,0,1983,1.983
43,0.043000000000000003,0.3967907726764679,0,0,0,1983,1.983
44,0.044,0.396823525428772,0,0,0,1983,1.983
45,0.045,0.396740198135376,0,0,0,1983,1.983
46,0.046,0.39663636684417725,0,0,0,1983,1.983
47,0.047,0.3965773284435272,0,0,0,1983,1.983
48,0.048,0.3963843882083893,0,0,0,1983,1.983
49,0.049,0.3961513638496399,0,0,0,1983,1.983
50,0.05,0.39593327045440674,0,0,0,1983,1.983
51,0.051000000000000004,0.3959231972694397,0,0,0,1983,1.983
52,0.052000000000000005,0.395808607339859,0,0,0,1983,1.983
53,0.053,0.3955800235271454,0,0,0,1983,1.983
54,0.054,0.3954780697822571,0,0,0,1983,1.983
55,0.055,0.39532533288002014,0,0,0,1983,1.983
56,0.056,0.3950999975204468,0,0,0,1983,1.983
57,0.057,0.39497512578964233,0,0,0,1983,1.983
58,0.058,0.395101934671402,0,0,0,1983,1.983
59,0.059000000000000004,0.39555320143699646,0,0,0,1983,1.983
60,0.06,0.3960064649581909,0,0,0,1983,1.983
61,0.061,0.39638423919677734,0,0,0,1983,1.983
62,0.062,0.39681699872016907,0,0,0,1983,1.983
63,0.063,0.39729660749435425,0,0,0,1983,1.983
64,0.064,0.39764297008514404,0,0,0,1983,1.983
65,0.065,0.3979552090167999,0,0,0,1983,1.983
66,0.066,0.3983411192893982,0,0,0,1983,1.983
67,0.067,0.39868536591529846,0,0,0,1983,1.983
68,0.068,0.39860624074935913,0,0,0,1983,1.983
69,0.069,0.3982336223125458,0,0,0,1983,1.983
70,0.07,0.3977283239364624,0,0,0,1983,1.983
71,0.07100000000000001,0.39725565910339355,0,0,0,1983,1.983
72,0.07200000000000001,0.3967839479446411,0,0,0,1983,1.983
73,0.073,0.3963060975074768,0,0,0,1983,1.983
74,0.074,0.3959713876247406,0,0,0,1983,1.983
75,0.075,0.39569026231765747,0,0,0,1983,1.983
76,0.076,0.3954611122608185,0,0,0,1983,1.983
77,0.077,0.39548078179359436,0,0,0,1983,1.983
78,0.078,0.39574944972991943,0,0,0,1983,1.983
79,0.079,0.3961893618106842,0,0,0,1983,1.983
80,0.08,0.3966694176197052,0,0,0,1983,1.983
