shot_id,split,expected_label,meta_label,hdf5_path,required_feature_count,length_reconciled,n_raw,n_used,n_positive,n_negative,n_gray_dropped,dt_ms,time_end_ms,time_source,has_advanced_time,advanced_time_ms,fls_used_ms,fls_source,positive_start_ms,gray_start_ms
1051500,val,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051500.hdf5,23,0,449,449,0,449,0,1.0036608876868627,599.640077683716,meta_start_down,0,,0.0,non_disruptive,,
1051501,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051501.hdf5,23,0,233,204,11,193,29,1.0071624038091045,383.6616776837159,meta_start_down,1,10.161677683715897,10.161677683715897,advanced_time,373.5,343.5
1051505,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051505.hdf5,23,0,442,442,0,442,0,1.003947319010706,592.740767683716,meta_start_down,0,,0.0,non_disruptive,,
1051508,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051508.hdf5,23,0,357,327,35,292,30,1.0054754148418965,507.94924768371595,meta_start_down,1,34.94924768371599,34.94924768371599,advanced_time,472.99999999999994,442.99999999999994
1051509,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051509.hdf5,23,0,354,324,55,269,30,1.0043897668093962,504.5495876837159,meta_start_down,1,54.54958768371593,54.54958768371593,advanced_time,450.0,420.0
1051510,test,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051510.hdf5,23,0,383,353,44,309,30,1.004048920638013,533.546687683716,meta_start_down,1,43.546687683715945,43.546687683715945,advanced_time,490.0,460.0
1051515,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051515.hdf5,23,0,305,275,15,260,30,1.0041267029069445,455.2545176837159,meta_start_down,1,14.254517683715884,14.254517683715884,advanced_time,441.0,411.0
1051516,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051516.hdf5,23,0,415,385,8,377,30,1.0027621441635688,565.1435276837159,meta_start_down,1,7.6435276837159005,7.6435276837159005,advanced_time,557.5,527.5
1051517,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051517.hdf5,23,0,402,372,10,362,30,1.0028549318795967,552.1448276837159,meta_start_down,1,9.144827683715828,9.144827683715828,advanced_time,543.0000000000001,513.0000000000001
1051525,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051525.hdf5,23,0,371,341,5,336,30,1.00418348022626,521.547887683716,meta_start_down,1,4.547887683715945,4.547887683715945,advanced_time,517.0,487.0
1051565,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051565.hdf5,23,0,344,344,0,344,0,1.0042291477659546,494.4505976837159,meta_start_down,0,,0.0,non_disruptive,,
1051571,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051571.hdf5,23,0,302,272,13,259,30,1.006161985660185,452.8547576837159,meta_start_down,1,12.854757683715912,12.854757683715912,advanced_time,440.0,410.0
1051580,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051580.hdf5,23,0,343,313,34,279,30,1.0048265429348362,493.6506776837159,meta_start_down,1,33.6,33.6,advanced_time,460.0506776837159,430.0506776837159
1051592,test,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051592.hdf5,23,0,346,346,0,346,0,1.0030447469093247,496.05043768371587,meta_start_down,0,,0.0,non_disruptive,,
1051593,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051500\1051593.hdf5,23,0,345,345,0,345,0,1.003344557220089,495.15052768371595,meta_start_down,0,,0.0,non_disruptive,,
1051607,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051607.hdf5,23,0,346,346,0,346,0,1.0050735295180289,496.75036768371587,meta_start_down,0,,0.0,non_disruptive,,
1051623,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051623.hdf5,23,0,349,349,0,349,0,1.0035922921945826,499.2501176837159,meta_start_down,0,,0.0,non_disruptive,,
1051627,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051627.hdf5,23,0,52,23,6,17,29,1.0250944643865978,202.2798176837159,meta_start_down,1,5.779817683715882,5.779817683715882,advanced_time,196.5,166.5
1051648,test,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051648.hdf5,23,0,342,342,0,342,0,1.0054274418877185,492.85075768371587,meta_start_down,0,,0.0,non_disruptive,,
1051650,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051650.hdf5,23,0,349,349,0,349,0,1.0044542749532184,499.5500876837159,meta_start_down,0,,0.0,non_disruptive,,
1051659,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051659.hdf5,23,0,348,348,0,348,0,1.0047555552844756,498.65017768371587,meta_start_down,0,,0.0,non_disruptive,,
1051660,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051660.hdf5,23,0,350,350,0,350,0,1.0032952082627844,500.15002768371596,meta_start_down,0,,0.0,non_disruptive,,
1051662,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051662.hdf5,23,0,273,244,44,200,29,1.0046239620724862,423.2577176837159,meta_start_down,1,43.25771768371589,43.25771768371589,advanced_time,380.0,350.0
1051684,test,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051684.hdf5,23,0,88,59,15,44,29,1.0146691687783402,238.2762176837159,meta_start_down,1,14.276217683715897,14.276217683715897,advanced_time,224.00000000000003,194.00000000000003
1051685,val,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051600\1051685.hdf5,23,0,343,343,0,343,0,1.003657069250636,493.25071768371595,meta_start_down,0,,0.0,non_disruptive,,
1051701,test,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051701.hdf5,23,0,48,19,5,14,29,1.0293661209301206,198.3802076837159,meta_start_down,1,4.380207683715886,4.380207683715886,advanced_time,194.0,164.0
1051740,val,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051740.hdf5,23,0,348,348,0,348,0,1.0056200221432618,498.95014768371595,meta_start_down,0,,0.0,non_disruptive,,
1051744,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051744.hdf5,23,0,345,345,0,345,0,1.0056699060573209,495.9504476837159,meta_start_down,0,,0.0,non_disruptive,,
1051758,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051758.hdf5,23,0,349,349,0,349,0,1.0038796197807756,499.3501076837159,meta_start_down,0,,0.0,non_disruptive,,
1051759,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051759.hdf5,23,0,350,350,0,350,0,1.003008703964781,500.0500376837159,meta_start_down,0,,0.0,non_disruptive,,
1051760,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051760.hdf5,23,0,348,348,0,348,0,1.0041792440453037,498.4501976837159,meta_start_down,0,,0.0,non_disruptive,,
1051761,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051761.hdf5,23,0,348,348,0,348,0,1.0038910884256893,498.3502076837159,meta_start_down,0,,0.0,non_disruptive,,
1051763,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051763.hdf5,23,0,344,344,0,344,0,1.0056867279408834,494.95054768371585,meta_start_down,0,,0.0,non_disruptive,,
1051764,train,1,1,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051764.hdf5,23,0,192,162,12,150,30,1.0087213491294165,342.66577768371593,meta_start_down,1,11.665777683715906,11.665777683715906,advanced_time,331.0,301.0
1051766,test,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051766.hdf5,23,0,347,347,0,347,0,1.0053475655598731,497.8502576837159,meta_start_down,0,,0.0,non_disruptive,,
1051769,train,0,0,D:\Fuison\data\J-TEXT\unified_hdf5\1051700\1051769.hdf5,23,0,347,347,0,347,0,1.0047695886812562,497.6502776837159,meta_start_down,0,,0.0,non_disruptive,,
