feature,mean_abs_shap,corr_feature_shap,direction_hint,mechanism_tags
Mir_avg_fre,0.14625714719295502,,not_available_without_shap,locked_mode
v_loop,0.09869248420000076,,not_available_without_shap,"density_limit,vde_control_loss,impurity_radiation_collapse"
mode_number_n,0.07881996780633926,,not_available_without_shap,"locked_mode,low_q_current_limit"
sxr_var,0.06714548915624619,,not_available_without_shap,"density_limit,impurity_radiation_collapse"
sxr_kurt,0.06582598388195038,,not_available_without_shap,"density_limit,impurity_radiation_collapse"
xuv_ratio,0.057054195553064346,,not_available_without_shap,"density_limit,impurity_radiation_collapse"
Z_proxy,0.05553722009062767,,not_available_without_shap,vde_control_loss
qa_proxy,0.05108173191547394,,not_available_without_shap,low_q_current_limit
dy_a,0.039816394448280334,,not_available_without_shap,vde_control_loss
MNM,0.037035021930933,,not_available_without_shap,locked_mode
sxr_mean,0.03271910175681114,,not_available_without_shap,"density_limit,impurity_radiation_collapse"
dx_a,0.02748847007751465,,not_available_without_shap,vde_control_loss
