shot_id,primary_mechanism,primary_mechanism_score,reason_window_rule,reason_window_points,top_features_json,top1_feature,top1_contribution,top1_mechanism_tags,top2_feature,top2_contribution,top2_mechanism_tags,top3_feature,top3_contribution,top3_mechanism_tags,warning,lead_time_ms,warning_time_to_end_ms
1051510,low_q_current_limit,1.5178927657279102,y_true==1,44,"[{""rank"": 1, ""feature"": ""qa_proxy"", ""contribution"": 0.7793428193439137, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 2, ""feature"": ""mode_number_n"", ""contribution"": 0.7385499463839964, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}, {""rank"": 3, ""feature"": ""v_loop"", ""contribution"": 0.4125751613385298, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}]",qa_proxy,0.7793428193439137,low_q_current_limit,mode_number_n,0.7385499463839964,"locked_mode,low_q_current_limit",v_loop,0.4125751613385298,"density_limit,vde_control_loss,impurity_radiation_collapse",1,120.48587047655997,-120.48587047655997
1051684,density_limit,1.268417782212297,y_true==1,15,"[{""rank"": 1, ""feature"": ""sxr_kurt"", ""contribution"": 0.7928331658244133, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_var"", ""contribution"": 0.4755846163878838, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""mode_number_n"", ""contribution"": 0.46383503675460813, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}]",sxr_kurt,0.7928331658244133,"density_limit,impurity_radiation_collapse",sxr_var,0.4755846163878838,"density_limit,impurity_radiation_collapse",mode_number_n,0.46383503675460813,"locked_mode,low_q_current_limit",1,46.67478176380382,-46.67478176380382
1051701,vde_control_loss,1.5883212566375733,y_true==1,5,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 1.0860575914382935, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.5022636651992798, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""mode_number_n"", ""contribution"": 0.4287453770637512, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}]",Z_proxy,1.0860575914382935,vde_control_loss,v_loop,0.5022636651992798,"density_limit,vde_control_loss,impurity_radiation_collapse",mode_number_n,0.4287453770637512,"locked_mode,low_q_current_limit",0,,
1052062,density_limit,1.09975746832788,y_true==1,16,"[{""rank"": 1, ""feature"": ""xuv_ratio"", ""contribution"": 0.6578558636829257, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Z_proxy"", ""contribution"": 0.5556814579758793, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""v_loop"", ""contribution"": 0.4419016046449542, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}]",xuv_ratio,0.6578558636829257,"density_limit,impurity_radiation_collapse",Z_proxy,0.5556814579758793,vde_control_loss,v_loop,0.4419016046449542,"density_limit,vde_control_loss,impurity_radiation_collapse",1,1.0097220403100664,-1.0097220403100664
1052127,vde_control_loss,1.1053753371040027,y_true==1,12,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.7114186435937881, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Bt"", ""contribution"": 0.43952027211586636, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 3, ""feature"": ""Z_proxy"", ""contribution"": 0.3939566935102145, ""mechanism_tags"": ""vde_control_loss""}]",v_loop,0.7114186435937881,"density_limit,vde_control_loss,impurity_radiation_collapse",Bt,0.43952027211586636,low_q_current_limit,Z_proxy,0.3939566935102145,vde_control_loss,1,2.031672637209226,-2.031672637209226
1052920,vde_control_loss,1.2338843228561538,y_true==1,7,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.7003220575196403, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.5335622653365135, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""mode_number_n"", ""contribution"": 0.3917609282902309, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}]",Z_proxy,0.7003220575196403,vde_control_loss,v_loop,0.5335622653365135,"density_limit,vde_control_loss,impurity_radiation_collapse",mode_number_n,0.3917609282902309,"locked_mode,low_q_current_limit",1,1.006437976863424,-1.006437976863424
1052948,low_q_current_limit,0.6773890256881714,y_true==1,7,"[{""rank"": 1, ""feature"": ""qa_proxy"", ""contribution"": 0.6773890256881714, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 2, ""feature"": ""Mir_avg_fre"", ""contribution"": 0.5367318604673658, ""mechanism_tags"": ""locked_mode""}, {""rank"": 3, ""feature"": ""dx_a"", ""contribution"": 0.30391065563474384, ""mechanism_tags"": ""vde_control_loss""}]",qa_proxy,0.6773890256881714,low_q_current_limit,Mir_avg_fre,0.5367318604673658,locked_mode,dx_a,0.30391065563474384,vde_control_loss,0,,
1052954,low_q_current_limit,1.405668006123354,y_true==1,6,"[{""rank"": 1, ""feature"": ""mode_number_n"", ""contribution"": 0.7229219923416773, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}, {""rank"": 2, ""feature"": ""qa_proxy"", ""contribution"": 0.6827460137816767, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 3, ""feature"": ""Mir_avg_fre"", ""contribution"": 0.47622272682686645, ""mechanism_tags"": ""locked_mode""}]",mode_number_n,0.7229219923416773,"locked_mode,low_q_current_limit",qa_proxy,0.6827460137816767,low_q_current_limit,Mir_avg_fre,0.47622272682686645,locked_mode,1,1.0121092585776523,-1.0121092585776523
1052960,low_q_current_limit,0.6651169843971729,y_true==1,16,"[{""rank"": 1, ""feature"": ""qa_proxy"", ""contribution"": 0.6651169843971729, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.38190121203660965, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""dx_a"", ""contribution"": 0.3598012560978532, ""mechanism_tags"": ""vde_control_loss""}]",qa_proxy,0.6651169843971729,low_q_current_limit,sxr_mean,0.38190121203660965,"density_limit,impurity_radiation_collapse",dx_a,0.3598012560978532,vde_control_loss,1,7.030315254434527,-7.030315254434527
1053058,vde_control_loss,1.7580126275618873,y_true==1,6,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 1.0161092380682628, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""mode_number_n"", ""contribution"": 0.859154999256134, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}, {""rank"": 3, ""feature"": ""Z_proxy"", ""contribution"": 0.7419033894936243, ""mechanism_tags"": ""vde_control_loss""}]",v_loop,1.0161092380682628,"density_limit,vde_control_loss,impurity_radiation_collapse",mode_number_n,0.859154999256134,"locked_mode,low_q_current_limit",Z_proxy,0.7419033894936243,vde_control_loss,1,1.007291598759707,-1.007291598759707
