shot_id,primary_mechanism,primary_mechanism_score,reason_window_rule,reason_window_points,top_features_json,top1_feature,top1_contribution,top1_mechanism_tags,top2_feature,top2_contribution,top2_mechanism_tags,top3_feature,top3_contribution,top3_mechanism_tags,warning,lead_time_ms,warning_time_to_end_ms
1051510,density_limit,0.02185113576706499,y_true==1,4,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.014890273567289114, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_skew"", ""contribution"": 0.006960862199775875, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.003216661512851715, ""mechanism_tags"": ""low_q_current_limit""}]",v_loop,0.014890273567289114,"density_limit,vde_control_loss,impurity_radiation_collapse",sxr_skew,0.006960862199775875,"density_limit,impurity_radiation_collapse",ip,0.003216661512851715,low_q_current_limit,0,,
1051684,density_limit,0.001914080698043108,y_true==1,1,"[{""rank"": 1, ""feature"": ""sxr_var"", ""contribution"": 0.0012019335990771651, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""xuv_var"", ""contribution"": 0.0007121470989659429, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""Z_proxy"", ""contribution"": 0.0003545444633346051, ""mechanism_tags"": ""vde_control_loss""}]",sxr_var,0.0012019335990771651,"density_limit,impurity_radiation_collapse",xuv_var,0.0007121470989659429,"density_limit,impurity_radiation_collapse",Z_proxy,0.0003545444633346051,vde_control_loss,1,-0.0,0.0
1051701,vde_control_loss,0.012962362729012966,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.007943102158606052, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.005019260570406914, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""Mir_VV"", ""contribution"": 0.000680909666698426, ""mechanism_tags"": ""density_limit,locked_mode""}]",Z_proxy,0.007943102158606052,vde_control_loss,v_loop,0.005019260570406914,"density_limit,vde_control_loss,impurity_radiation_collapse",Mir_VV,0.000680909666698426,"density_limit,locked_mode",1,-0.0,0.0
1052062,density_limit,0.0005198712096898817,y_true==1,1,"[{""rank"": 1, ""feature"": ""sxr_var"", ""contribution"": 0.00034369170316495, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""xuv_kurt"", ""contribution"": 0.00010237126116408035, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""v_loop"", ""contribution"": 7.380824536085129e-05, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}]",sxr_var,0.00034369170316495,"density_limit,impurity_radiation_collapse",xuv_kurt,0.00010237126116408035,"density_limit,impurity_radiation_collapse",v_loop,7.380824536085129e-05,"density_limit,vde_control_loss,impurity_radiation_collapse",1,-0.0,0.0
1052127,density_limit,0.008100771810859442,y_true==1,1,"[{""rank"": 1, ""feature"": ""sxr_var"", ""contribution"": 0.003888221923261881, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.002953469520434737, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""xuv_skew"", ""contribution"": 0.0012590803671628237, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",sxr_var,0.003888221923261881,"density_limit,impurity_radiation_collapse",v_loop,0.002953469520434737,"density_limit,vde_control_loss,impurity_radiation_collapse",xuv_skew,0.0012590803671628237,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052920,density_limit,0.01878823814331554,y_true==1,2,"[{""rank"": 1, ""feature"": ""xuv_kurt"", ""contribution"": 0.010213245172053576, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""dx_a"", ""contribution"": 0.009627304621972144, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""sxr_var"", ""contribution"": 0.008574992971261963, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",xuv_kurt,0.010213245172053576,"density_limit,impurity_radiation_collapse",dx_a,0.009627304621972144,vde_control_loss,sxr_var,0.008574992971261963,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052948,vde_control_loss,0.006407575274351984,y_true==1,2,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.004786177887581289, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""dy_a"", ""contribution"": 0.0016213973867706954, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""CIII"", ""contribution"": 0.00149254355346784, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.004786177887581289,vde_control_loss,dy_a,0.0016213973867706954,vde_control_loss,CIII,0.00149254355346784,"density_limit,impurity_radiation_collapse",1,1.0072786159245766,-1.0072786159245766
1052954,vde_control_loss,0.004855492152273655,y_true==1,1,"[{""rank"": 1, ""feature"": ""dy_a"", ""contribution"": 0.004855492152273655, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.002572243334725499, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.002270651049911976, ""mechanism_tags"": ""low_q_current_limit""}]",dy_a,0.004855492152273655,vde_control_loss,sxr_mean,0.002572243334725499,"density_limit,impurity_radiation_collapse",ip,0.002270651049911976,low_q_current_limit,0,,
1052960,density_limit,0.011979459319263697,y_true==1,2,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.007706057280302048, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.004273402038961649, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""dy_a"", ""contribution"": 0.004168681334704161, ""mechanism_tags"": ""vde_control_loss""}]",v_loop,0.007706057280302048,"density_limit,vde_control_loss,impurity_radiation_collapse",sxr_mean,0.004273402038961649,"density_limit,impurity_radiation_collapse",dy_a,0.004168681334704161,vde_control_loss,1,5.021653753167527,-5.021653753167527
1053058,vde_control_loss,0.005004645907320082,y_true==1,2,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.003176822909153998, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.0018278229981660843, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""Mir_VV"", ""contribution"": 0.0009995769360102713, ""mechanism_tags"": ""density_limit,locked_mode""}]",Z_proxy,0.003176822909153998,vde_control_loss,v_loop,0.0018278229981660843,"density_limit,vde_control_loss,impurity_radiation_collapse",Mir_VV,0.0009995769360102713,"density_limit,locked_mode",1,2.0145831975193573,-2.0145831975193573
1053313,vde_control_loss,0.006508416379801929,y_true==1,1,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.0029239347204566, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""dx_a"", ""contribution"": 0.0018216712633147836, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""Z_proxy"", ""contribution"": 0.0017628103960305452, ""mechanism_tags"": ""vde_control_loss""}]",v_loop,0.0029239347204566,"density_limit,vde_control_loss,impurity_radiation_collapse",dx_a,0.0018216712633147836,vde_control_loss,Z_proxy,0.0017628103960305452,vde_control_loss,1,-0.0,0.0
1053552,density_limit,0.05491167586296797,y_true==1,2,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.024667231366038322, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.015319788828492165, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ne_nG"", ""contribution"": 0.014924655668437481, ""mechanism_tags"": ""density_limit""}]",v_loop,0.024667231366038322,"density_limit,vde_control_loss,impurity_radiation_collapse",sxr_mean,0.015319788828492165,"density_limit,impurity_radiation_collapse",ne_nG,0.014924655668437481,density_limit,0,,
1053932,density_limit,0.015419651754200459,y_true==1,1,"[{""rank"": 1, ""feature"": ""xuv_kurt"", ""contribution"": 0.015419651754200459, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Bt"", ""contribution"": 0.015081487596035004, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 3, ""feature"": ""Z_proxy"", ""contribution"": 0.011408225633203983, ""mechanism_tags"": ""vde_control_loss""}]",xuv_kurt,0.015419651754200459,"density_limit,impurity_radiation_collapse",Bt,0.015081487596035004,low_q_current_limit,Z_proxy,0.011408225633203983,vde_control_loss,0,,
1054153,vde_control_loss,0.002428142324788496,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.002077010925859213, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""xuv_kurt"", ""contribution"": 0.00041030888678506017, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""dy_a"", ""contribution"": 0.000351131398929283, ""mechanism_tags"": ""vde_control_loss""}]",Z_proxy,0.002077010925859213,vde_control_loss,xuv_kurt,0.00041030888678506017,"density_limit,impurity_radiation_collapse",dy_a,0.000351131398929283,vde_control_loss,1,-0.0,0.0
1054154,vde_control_loss,0.002165481331758201,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.0017119648400694132, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""dy_a"", ""contribution"": 0.00045351649168878794, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""xuv_skew"", ""contribution"": 0.00036073915543965995, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.0017119648400694132,vde_control_loss,dy_a,0.00045351649168878794,vde_control_loss,xuv_skew,0.00036073915543965995,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1054161,vde_control_loss,0.0025605432456359267,y_true==1,1,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.0016670533223077655, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Z_proxy"", ""contribution"": 0.0008934899233281612, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""xuv_kurt"", ""contribution"": 0.0005383320385590196, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",v_loop,0.0016670533223077655,"density_limit,vde_control_loss,impurity_radiation_collapse",Z_proxy,0.0008934899233281612,vde_control_loss,xuv_kurt,0.0005383320385590196,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1054188,density_limit,0.025356624838119995,y_true==1,3,"[{""rank"": 1, ""feature"": ""xuv_kurt"", ""contribution"": 0.01756572360560919, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Bt"", ""contribution"": 0.01269552274122058, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 3, ""feature"": ""v_loop"", ""contribution"": 0.007790901232510805, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}]",xuv_kurt,0.01756572360560919,"density_limit,impurity_radiation_collapse",Bt,0.01269552274122058,low_q_current_limit,v_loop,0.007790901232510805,"density_limit,vde_control_loss,impurity_radiation_collapse",1,-0.0,0.0
1054337,vde_control_loss,0.006133408285677433,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.006133408285677433, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""sxr_kurt"", ""contribution"": 0.0011773585574701428, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""sxr_mean"", ""contribution"": 0.0008836720371618867, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.006133408285677433,vde_control_loss,sxr_kurt,0.0011773585574701428,"density_limit,impurity_radiation_collapse",sxr_mean,0.0008836720371618867,"density_limit,impurity_radiation_collapse",0,,
1054838,vde_control_loss,0.001321042887866497,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.001321042887866497, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""sxr_skew"", ""contribution"": 0.0005724749062210321, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ne_nG"", ""contribution"": 0.0004998389631509781, ""mechanism_tags"": ""density_limit""}]",Z_proxy,0.001321042887866497,vde_control_loss,sxr_skew,0.0005724749062210321,"density_limit,impurity_radiation_collapse",ne_nG,0.0004998389631509781,density_limit,1,-0.0,0.0
