shot_id,primary_mechanism,primary_mechanism_score,reason_window_rule,reason_window_points,top_features_json,top1_feature,top1_contribution,top1_mechanism_tags,top2_feature,top2_contribution,top2_mechanism_tags,top3_feature,top3_contribution,top3_mechanism_tags,warning,lead_time_ms,warning_time_to_end_ms
1051510,density_limit,0.015742271236376837,y_true==1,4,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.00962776195956394, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""ip"", ""contribution"": 0.007751602519419976, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 3, ""feature"": ""sxr_skew"", ""contribution"": 0.006114509276812896, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",v_loop,0.00962776195956394,"density_limit,vde_control_loss,impurity_radiation_collapse",ip,0.007751602519419976,low_q_current_limit,sxr_skew,0.006114509276812896,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1051684,vde_control_loss,0.003962458577007055,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.003962458577007055, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""ne_nG"", ""contribution"": 0.0003207977279089391, ""mechanism_tags"": ""density_limit""}, {""rank"": 3, ""feature"": ""CIII"", ""contribution"": 0.00030959572177380323, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.003962458577007055,vde_control_loss,ne_nG,0.0003207977279089391,density_limit,CIII,0.00030959572177380323,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1051701,vde_control_loss,0.009148889686912298,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.005918730981647968, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.00323015870526433, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""xuv_var"", ""contribution"": 0.0013133082538843155, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.005918730981647968,vde_control_loss,v_loop,0.00323015870526433,"density_limit,vde_control_loss,impurity_radiation_collapse",xuv_var,0.0013133082538843155,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052062,density_limit,0.0059025636001024395,y_true==1,1,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.003761781845241785, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""xuv_var"", ""contribution"": 0.0016636402579024434, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""xuv_skew"", ""contribution"": 0.00047714149695821106, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",v_loop,0.003761781845241785,"density_limit,vde_control_loss,impurity_radiation_collapse",xuv_var,0.0016636402579024434,"density_limit,impurity_radiation_collapse",xuv_skew,0.00047714149695821106,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052127,density_limit,0.022166751325130463,y_true==1,1,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.012382726185023785, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_var"", ""contribution"": 0.00604665745049715, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""xuv_skew"", ""contribution"": 0.0037373676896095276, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",v_loop,0.012382726185023785,"density_limit,vde_control_loss,impurity_radiation_collapse",sxr_var,0.00604665745049715,"density_limit,impurity_radiation_collapse",xuv_skew,0.0037373676896095276,"density_limit,impurity_radiation_collapse",0,,
1052920,vde_control_loss,0.024017118848860264,y_true==1,2,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.013909341068938375, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""dx_a"", ""contribution"": 0.01010777777992189, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""Bt"", ""contribution"": 0.006644335298915394, ""mechanism_tags"": ""low_q_current_limit""}]",v_loop,0.013909341068938375,"density_limit,vde_control_loss,impurity_radiation_collapse",dx_a,0.01010777777992189,vde_control_loss,Bt,0.006644335298915394,low_q_current_limit,1,-0.0,0.0
1052948,vde_control_loss,0.009531522693578154,y_true==1,2,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.006666418281383812, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.0028651044121943414, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""sxr_skew"", ""contribution"": 0.0005939894472248852, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.006666418281383812,vde_control_loss,v_loop,0.0028651044121943414,"density_limit,vde_control_loss,impurity_radiation_collapse",sxr_skew,0.0005939894472248852,"density_limit,impurity_radiation_collapse",1,1.0072786159245766,-1.0072786159245766
1052954,vde_control_loss,0.0027981529710814357,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.0022451363038271666, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""Mir_VV"", ""contribution"": 0.0014371974393725395, ""mechanism_tags"": ""density_limit,locked_mode""}, {""rank"": 3, ""feature"": ""dy_a"", ""contribution"": 0.0005530166672542691, ""mechanism_tags"": ""vde_control_loss""}]",Z_proxy,0.0022451363038271666,vde_control_loss,Mir_VV,0.0014371974393725395,"density_limit,locked_mode",dy_a,0.0005530166672542691,vde_control_loss,1,-0.0,0.0
1052960,density_limit,0.010142177459783852,y_true==1,2,"[{""rank"": 1, ""feature"": ""sxr_mean"", ""contribution"": 0.005102515919134021, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""xuv_var"", ""contribution"": 0.005039661540649831, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.003456488746451214, ""mechanism_tags"": ""low_q_current_limit""}]",sxr_mean,0.005102515919134021,"density_limit,impurity_radiation_collapse",xuv_var,0.005039661540649831,"density_limit,impurity_radiation_collapse",ip,0.003456488746451214,low_q_current_limit,0,,
1053058,vde_control_loss,0.010290527483448386,y_true==1,2,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.010290527483448386, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""Mir_VV"", ""contribution"": 0.0025775785761652514, ""mechanism_tags"": ""density_limit,locked_mode""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.0014447413996094838, ""mechanism_tags"": ""low_q_current_limit""}]",Z_proxy,0.010290527483448386,vde_control_loss,Mir_VV,0.0025775785761652514,"density_limit,locked_mode",ip,0.0014447413996094838,low_q_current_limit,1,2.0145831975193573,-2.0145831975193573
