shot_id,primary_mechanism,primary_mechanism_score,reason_window_rule,reason_window_points,top_features_json,top1_feature,top1_contribution,top1_mechanism_tags,top2_feature,top2_contribution,top2_mechanism_tags,top3_feature,top3_contribution,top3_mechanism_tags,warning,lead_time_ms,warning_time_to_end_ms
1051510,density_limit,0.011430451231717598,y_true==1,4,"[{""rank"": 1, ""feature"": ""ip"", ""contribution"": 0.006825046599260531, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 2, ""feature"": ""sxr_kurt"", ""contribution"": 0.006824494972534012, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""sxr_skew"", ""contribution"": 0.004605956259183586, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",ip,0.006825046599260531,low_q_current_limit,sxr_kurt,0.006824494972534012,"density_limit,impurity_radiation_collapse",sxr_skew,0.004605956259183586,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1051684,vde_control_loss,0.0019233126658946276,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.0019233126658946276, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""Mir_VV"", ""contribution"": 0.00026667091879062355, ""mechanism_tags"": ""density_limit,locked_mode""}, {""rank"": 3, ""feature"": ""CIII"", ""contribution"": 0.0001814205024857074, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.0019233126658946276,vde_control_loss,Mir_VV,0.00026667091879062355,"density_limit,locked_mode",CIII,0.0001814205024857074,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1051701,density_limit,0.002323786378838122,y_true==1,1,"[{""rank"": 1, ""feature"": ""CIII"", ""contribution"": 0.0009356362279504538, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""v_loop"", ""contribution"": 0.0008628119830973446, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""xuv_var"", ""contribution"": 0.0005253381677903235, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",CIII,0.0009356362279504538,"density_limit,impurity_radiation_collapse",v_loop,0.0008628119830973446,"density_limit,vde_control_loss,impurity_radiation_collapse",xuv_var,0.0005253381677903235,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052062,density_limit,0.0024053193628787994,y_true==1,1,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.0013698844704777002, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""CIII"", ""contribution"": 0.0010354348924010992, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""Mir_avg_fre"", ""contribution"": 0.0003242777893319726, ""mechanism_tags"": ""locked_mode""}]",v_loop,0.0013698844704777002,"density_limit,vde_control_loss,impurity_radiation_collapse",CIII,0.0010354348924010992,"density_limit,impurity_radiation_collapse",Mir_avg_fre,0.0003242777893319726,locked_mode,1,-0.0,0.0
1052127,density_limit,0.02131941309198737,y_true==1,1,"[{""rank"": 1, ""feature"": ""CIII"", ""contribution"": 0.017238585278391838, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Mir_VV"", ""contribution"": 0.0024624690413475037, ""mechanism_tags"": ""density_limit,locked_mode""}, {""rank"": 3, ""feature"": ""v_loop"", ""contribution"": 0.0016183587722480297, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}]",CIII,0.017238585278391838,"density_limit,impurity_radiation_collapse",Mir_VV,0.0024624690413475037,"density_limit,locked_mode",v_loop,0.0016183587722480297,"density_limit,vde_control_loss,impurity_radiation_collapse",0,,
1052920,vde_control_loss,0.02342142337874975,y_true==1,2,"[{""rank"": 1, ""feature"": ""v_loop"", ""contribution"": 0.014915208332240582, ""mechanism_tags"": ""density_limit,vde_control_loss,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""dx_a"", ""contribution"": 0.008506215046509169, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""xuv_kurt"", ""contribution"": 0.007496246566006448, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",v_loop,0.014915208332240582,"density_limit,vde_control_loss,impurity_radiation_collapse",dx_a,0.008506215046509169,vde_control_loss,xuv_kurt,0.007496246566006448,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052948,vde_control_loss,0.010796106304042041,y_true==1,2,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.010796106304042041, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""CIII"", ""contribution"": 0.0037922575138509274, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""Mir_VV"", ""contribution"": 0.002914192125899717, ""mechanism_tags"": ""density_limit,locked_mode""}]",Z_proxy,0.010796106304042041,vde_control_loss,CIII,0.0037922575138509274,"density_limit,impurity_radiation_collapse",Mir_VV,0.002914192125899717,"density_limit,locked_mode",1,-0.0,0.0
1052954,vde_control_loss,0.0011101379059255123,y_true==1,1,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.0011101379059255123, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""Mir_avg_amp"", ""contribution"": 0.00029398297192528844, ""mechanism_tags"": ""density_limit,locked_mode,low_q_current_limit""}, {""rank"": 3, ""feature"": ""xuv_kurt"", ""contribution"": 0.00019643764244392514, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",Z_proxy,0.0011101379059255123,vde_control_loss,Mir_avg_amp,0.00029398297192528844,"density_limit,locked_mode,low_q_current_limit",xuv_kurt,0.00019643764244392514,"density_limit,impurity_radiation_collapse",1,-0.0,0.0
1052960,density_limit,0.007373186614131555,y_true==1,2,"[{""rank"": 1, ""feature"": ""CIII"", ""contribution"": 0.0050030521815642715, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Mir_VV"", ""contribution"": 0.0023701344325672835, ""mechanism_tags"": ""density_limit,locked_mode""}, {""rank"": 3, ""feature"": ""Mir_avg_fre"", ""contribution"": 0.0010842998744919896, ""mechanism_tags"": ""locked_mode""}]",CIII,0.0050030521815642715,"density_limit,impurity_radiation_collapse",Mir_VV,0.0023701344325672835,"density_limit,locked_mode",Mir_avg_fre,0.0010842998744919896,locked_mode,1,5.021653753167527,-5.021653753167527
1053058,density_limit,0.002042486274149269,y_true==1,2,"[{""rank"": 1, ""feature"": ""CIII"", ""contribution"": 0.002042486274149269, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""Z_proxy"", ""contribution"": 0.0019065558444708586, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 3, ""feature"": ""Mir_avg_fre"", ""contribution"": 0.00020666047203121707, ""mechanism_tags"": ""locked_mode""}]",CIII,0.002042486274149269,"density_limit,impurity_radiation_collapse",Z_proxy,0.0019065558444708586,vde_control_loss,Mir_avg_fre,0.00020666047203121707,locked_mode,1,2.0145831975193573,-2.0145831975193573
