shot_id,primary_mechanism,primary_mechanism_score,reason_window_rule,reason_window_points,top_features_json,top1_feature,top1_contribution,top1_mechanism_tags,top2_feature,top2_contribution,top2_mechanism_tags,top3_feature,top3_contribution,top3_mechanism_tags,warning,lead_time_ms,warning_time_to_end_ms
1051510,low_q_current_limit,0.003786552161975785,y_true==1,44,"[{""rank"": 1, ""feature"": ""ip"", ""contribution"": 0.003786552161975785, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 2, ""feature"": ""xuv_skew"", ""contribution"": 0.0013140169817647388, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""n=1 amplitude"", ""contribution"": 0.0009198709690694654, ""mechanism_tags"": ""locked_mode""}]",ip,0.003786552161975785,low_q_current_limit,xuv_skew,0.0013140169817647388,"density_limit,impurity_radiation_collapse",n=1 amplitude,0.0009198709690694654,locked_mode,1,41.16600574615802,-41.16600574615802
1051684,density_limit,0.02286382764771891,y_true==1,15,"[{""rank"": 1, ""feature"": ""ne_nG"", ""contribution"": 0.010679027709799508, ""mechanism_tags"": ""density_limit""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.006570499375326714, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""sxr_mean"", ""contribution"": 0.005614300562592689, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",ne_nG,0.010679027709799508,density_limit,sxr_mean,0.006570499375326714,"density_limit,impurity_radiation_collapse",sxr_mean,0.005614300562592689,"density_limit,impurity_radiation_collapse",1,12.17603002534014,-12.17603002534014
1051701,vde_control_loss,0.006162795424461365,y_true==1,5,"[{""rank"": 1, ""feature"": ""Z_proxy"", ""contribution"": 0.006162795424461365, ""mechanism_tags"": ""vde_control_loss""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.002609122796729935, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.001673362429937697, ""mechanism_tags"": ""low_q_current_limit""}]",Z_proxy,0.006162795424461365,vde_control_loss,sxr_mean,0.002609122796729935,"density_limit,impurity_radiation_collapse",ip,0.001673362429937697,low_q_current_limit,0,,
1052062,density_limit,0.037426536740895244,y_true==1,16,"[{""rank"": 1, ""feature"": ""sxr_mean"", ""contribution"": 0.014150478067676886, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""ne_nG"", ""contribution"": 0.012416154786478728, ""mechanism_tags"": ""density_limit""}, {""rank"": 3, ""feature"": ""sxr_var"", ""contribution"": 0.01085990388673963, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",sxr_mean,0.014150478067676886,"density_limit,impurity_radiation_collapse",ne_nG,0.012416154786478728,density_limit,sxr_var,0.01085990388673963,"density_limit,impurity_radiation_collapse",1,13.126386524030522,-13.126386524030522
1052127,density_limit,0.018185831781011075,y_true==1,12,"[{""rank"": 1, ""feature"": ""sxr_var"", ""contribution"": 0.01247768166164557, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.005708150119365503, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.0035861255279693673, ""mechanism_tags"": ""low_q_current_limit""}]",sxr_var,0.01247768166164557,"density_limit,impurity_radiation_collapse",sxr_mean,0.005708150119365503,"density_limit,impurity_radiation_collapse",ip,0.0035861255279693673,low_q_current_limit,0,,
1052920,density_limit,0.03194429868433092,y_true==1,7,"[{""rank"": 1, ""feature"": ""sxr_mean"", ""contribution"": 0.014645590912550688, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""ne_nG"", ""contribution"": 0.0112068522721529, ""mechanism_tags"": ""density_limit""}, {""rank"": 3, ""feature"": ""sxr_mean"", ""contribution"": 0.0060918554996273345, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",sxr_mean,0.014645590912550688,"density_limit,impurity_radiation_collapse",ne_nG,0.0112068522721529,density_limit,sxr_mean,0.0060918554996273345,"density_limit,impurity_radiation_collapse",1,1.006437976863424,-1.006437976863424
1052948,low_q_current_limit,0.0023567435263040742,y_true==1,7,"[{""rank"": 1, ""feature"": ""ip"", ""contribution"": 0.0017257223153137602, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.0007527147702473615, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.0006310212109903139, ""mechanism_tags"": ""low_q_current_limit""}]",ip,0.0017257223153137602,low_q_current_limit,sxr_mean,0.0007527147702473615,"density_limit,impurity_radiation_collapse",ip,0.0006310212109903139,low_q_current_limit,1,4.029114463698363,-4.029114463698363
1052954,density_limit,0.0028770218680923185,y_true==1,6,"[{""rank"": 1, ""feature"": ""xuv_skew"", ""contribution"": 0.0028770218680923185, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""qa_proxy"", ""contribution"": 0.001130545749523056, ""mechanism_tags"": ""low_q_current_limit""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.0010281917251025636, ""mechanism_tags"": ""low_q_current_limit""}]",xuv_skew,0.0028770218680923185,"density_limit,impurity_radiation_collapse",qa_proxy,0.001130545749523056,low_q_current_limit,ip,0.0010281917251025636,low_q_current_limit,1,63.76288329039204,-63.76288329039204
1052960,density_limit,0.03696150022005895,y_true==1,16,"[{""rank"": 1, ""feature"": ""sxr_mean"", ""contribution"": 0.024786005946225487, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 2, ""feature"": ""sxr_mean"", ""contribution"": 0.012175494273833465, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}, {""rank"": 3, ""feature"": ""ip"", ""contribution"": 0.011206762092115241, ""mechanism_tags"": ""low_q_current_limit""}]",sxr_mean,0.024786005946225487,"density_limit,impurity_radiation_collapse",sxr_mean,0.012175494273833465,"density_limit,impurity_radiation_collapse",ip,0.011206762092115241,low_q_current_limit,1,6.0259845038009985,-6.0259845038009985
1053058,density_limit,0.011783953057602048,y_true==1,6,"[{""rank"": 1, ""feature"": ""ne_nG"", ""contribution"": 0.00805425449895362, ""mechanism_tags"": ""density_limit""}, {""rank"": 2, ""feature"": ""mode_number_n"", ""contribution"": 0.0052277214514712496, ""mechanism_tags"": ""locked_mode,low_q_current_limit""}, {""rank"": 3, ""feature"": ""sxr_mean"", ""contribution"": 0.0037296985586484275, ""mechanism_tags"": ""density_limit,impurity_radiation_collapse""}]",ne_nG,0.00805425449895362,density_limit,mode_number_n,0.0052277214514712496,"locked_mode,low_q_current_limit",sxr_mean,0.0037296985586484275,"density_limit,impurity_radiation_collapse",1,2.0145831975193573,-2.0145831975193573
